doc_id,keywords,keyword_count,has_deployment_tag,current_concepts,namespaces,apis
data/raw_md/apidoc/DevExpress.ExpressApp.ApplicationBuilder/XPObjectSpaceProviderOptions/ConnectionString,"connectionstring, applicationbuilder",2,False,"Database Connection, Object Space, XPO",,"DevExpress.ExpressApp.ApplicationBuilder.XPObjectSpaceProviderOptions.ConnectionStringname, DevExpress.ExpressApp.ApplicationBuilder.XPObjectSpaceProviderOptions.UseCustomDataStoreProvider, DevExpress.ExpressApp.Xpo.IXpoDataStoreProvider"
data/raw_md/apidoc/DevExpress.ExpressApp.Win.ApplicationBuilder/AzureAdAuthenticationOptions/ClientId,"applicationbuilder, azure",2,False,Authentication,,DevExpress.ExpressApp.Win.ApplicationBuilder.AzureAdAuthenticationOptions.ClientIdname
data/raw_md/apidoc/DevExpress.ExpressApp.Win.ApplicationBuilder/AzureAdAuthenticationOptions/Instance,"applicationbuilder, azure",2,False,,,DevExpress.ExpressApp.Win.ApplicationBuilder.AzureAdAuthenticationOptions.Instancename
data/raw_md/apidoc/DevExpress.ExpressApp.MultiTenancy.Xpo/IMultiTenancyApplicationBuilder/WithHostDatabaseConnectionString,"connectionstring, applicationbuilder",2,False,"Actions, Database Connection, XPO",,"DevExpress.ExpressApp.MultiTenancy.Xpo.IMultiTenancyApplicationBuilder.WithHostDatabaseConnectionString, DevExpress.ExpressApp.MultiTenancy.Xpo.IMultiTenancyApplicationBuilderdescription, Xpo"
data/raw_md/apidoc/DevExpress.ExpressApp.Win.ApplicationBuilder/AzureADWinAuthenticationExtensions/AzureADWinAuthenticationExtensions,"applicationbuilder, azure",2,False,"Authentication, WinForms",,"DevExpress.ExpressApp.Win.ApplicationBuilder.AzureADWinAuthenticationExtensions._membersaltText, DevExpress.ExpressApp.Win.ApplicationBuilder.AzureADWinAuthenticationExtensionsname"
data/raw_md/apidoc/DevExpress.ExpressApp.Win.ApplicationBuilder/AzureADWinAuthenticationExtensions/AddAzureAD,"applicationbuilder, azure",2,False,"Actions, Authentication, WinForms",,"DevExpress.ExpressApp.Win.ApplicationBuilder.AzureADWinAuthenticationExtensions.AddAzureAD, DevExpress.ExpressApp.Win.ApplicationBuilder.AzureAdAuthenticationOptions, DevExpress.ExpressApp.Win.ApplicationBuilder.WinExternalAuthenticationBuilder"
data/raw_md/apidoc/DevExpress.ExpressApp.ApplicationBuilder/XPObjectSpaceProviderOptions/EnablePoolingInConnectionString,"connectionstring, applicationbuilder",2,False,"Database Connection, XPO",,"DevExpress.ExpressApp.ApplicationBuilder.XPObjectSpaceProviderOptions.EnablePoolingInConnectionStringname, DevExpress.ExpressApp.ApplicationBuilder.XPObjectSpaceProviderOptions.UseCustomDataStoreProvider, DevExpress.ExpressApp.Xpo.IXpoDataStoreProvider"
data/raw_md/apidoc/DevExpress.ExpressApp.Win.ApplicationBuilder/IWinApplicationBuilder/Configuration,"configuration, applicationbuilder",2,False,,,"DevExpress.ExpressApp.ApplicationBuilder.IXafApplicationBuilder, DevExpress.ExpressApp.Win.ApplicationBuilder.IWinApplicationBuilder.Configurationname"
data/raw_md/apidoc/DevExpress.ExpressApp.Win.ApplicationBuilder/MiddleTierAuthenticationBuilderExtensions/AddAzureAD,"applicationbuilder, azure",2,False,"Actions, Authentication, Security System",,"DevExpress.ExpressApp.Security.MiddleTierClientAzureAdAuthenticationOptions, DevExpress.ExpressApp.Win.ApplicationBuilder.IMiddleTierAuthenticationBuilder, DevExpress.ExpressApp.Win.ApplicationBuilder.IMiddleTierAuthenticationBuilderdescription"
data/raw_md/apidoc/DevExpress.ExpressApp.Win.ApplicationBuilder/MiddleTierAuthenticationBuilderExtensions/AddPasswordAuthentication,applicationbuilder,1,False,"Actions, Authentication, Security System",,"DevExpress.ExpressApp.ApplicationBuilder.MiddleTierPasswordAuthenticationOptions, DevExpress.ExpressApp.Win.ApplicationBuilder.IMiddleTierAuthenticationBuilder, DevExpress.ExpressApp.Win.ApplicationBuilder.IMiddleTierAuthenticationBuilderdescription"
data/raw_md/apidoc/DevExpress.ExpressApp.ApplicationBuilder/SecuredObjectSpaceProviderBuilderExtensions/AddSecuredXpo``1,applicationbuilder,1,False,Blazor UI,,"DevExpress.ExpressApp.ApplicationBuilder, DevExpress.ExpressApp.Blazor.ApplicationBuilder"
data/raw_md/apidoc/DevExpress.ExpressApp.ApplicationBuilder/SecuredObjectSpaceProviderBuilderExtensions/AddSecuredXpo``1_1,applicationbuilder,1,False,"Actions, Object Space, WinForms",,"DevExpress.ExpressApp.ApplicationBuilder.IObjectSpaceProviderBuilder, DevExpress.ExpressApp.ApplicationBuilder.SecuredObjectSpaceProviderBuilderExtensions.AddSecuredXpo0, DevExpress.ExpressApp.ApplicationBuilder.SecuredXPObjectSpaceProviderOptions"
data/raw_md/apidoc/DevExpress.ExpressApp.ApplicationBuilder/SecuredObjectSpaceProviderBuilderExtensions/AddSecuredXpo``1_1,applicationbuilder,1,False,,,"DevExpress.ExpressApp.ApplicationBuilder, DevExpress.ExpressApp.Win.ApplicationBuilder"
data/raw_md/apidoc/DevExpress.ExpressApp.ApplicationBuilder/SecuredXPObjectSpaceProviderOptions/AllowICommandChannelDoWithSecurityContext,applicationbuilder,1,False,Security System,,DevExpress.ExpressApp.ApplicationBuilder.SecuredXPObjectSpaceProviderOptions.AllowICommandChannelDoWithSecurityContextname
data/raw_md/apidoc/DevExpress.ExpressApp.ApplicationBuilder/StateMachineApplicationBuilderExtensions/AddStateMachine``1,applicationbuilder,1,False,"Actions, Blazor UI",,"DevExpress.ExpressApp.ApplicationBuilder.IModuleBuilder, DevExpress.ExpressApp.ApplicationBuilder.StateMachineApplicationBuilderExtensions.AddStateMachine0, DevExpress.ExpressApp.Blazor.ApplicationBuilder.IBlazorApplicationBuilder"
data/raw_md/apidoc/DevExpress.ExpressApp.ApplicationBuilder/ViewVariantsApplicationBuilderExtensions/AddViewVariants``1,applicationbuilder,1,False,"Actions, Blazor UI",,"DevExpress.ExpressApp.ApplicationBuilder.IModuleBuilder, DevExpress.ExpressApp.ApplicationBuilder.ViewVariantsApplicationBuilderExtensions.AddViewVariants0, DevExpress.ExpressApp.Blazor.ApplicationBuilder.IBlazorApplicationBuilder"
data/raw_md/apidoc/DevExpress.ExpressApp.ApplicationBuilder/WinEFCoreMultiTenancyApplicationBuilderExtensions/AddMultiTenancy,applicationbuilder,1,False,"Business Objects, Entity Framework Core, Tenant, WinForms",,"DevExpress.ExpressApp.ApplicationBuilder.WinEFCoreMultiTenancyApplicationBuilderExtensions.AddMultiTenancy, DevExpress.ExpressApp.MultiTenancy.EFCore.IMultiTenancyApplicationBuilderdescription, DevExpress.ExpressApp.Win.ApplicationBuilder.IWinApplicationBuilder"
data/raw_md/apidoc/DevExpress.ExpressApp.ApplicationBuilder/WinEFCoreMultiTenancyApplicationBuilderExtensions/WinEFCoreMultiTenancyApplicationBuilderExtensions,applicationbuilder,1,False,"Business Objects, Entity Framework Core, Tenant, WinForms",,"DevExpress.ExpressApp.ApplicationBuilder.WinEFCoreMultiTenancyApplicationBuilderExtensions._membersaltText, DevExpress.ExpressApp.ApplicationBuilder.WinEFCoreMultiTenancyApplicationBuilderExtensionsname, Entity Framework Core"
data/raw_md/apidoc/DevExpress.ExpressApp.ApplicationBuilder/WinXpoMultiTenancyApplicationBuilderExtensions/AddMultiTenancy,applicationbuilder,1,False,"Tenant, WinForms, XPO",,"DevExpress.ExpressApp.ApplicationBuilder.WinXpoMultiTenancyApplicationBuilderExtensions.AddMultiTenancy, DevExpress.ExpressApp.MultiTenancy.Xpo.IMultiTenancyApplicationBuilderdescription, DevExpress.ExpressApp.Win.ApplicationBuilder.IWinApplicationBuilder"
data/raw_md/apidoc/DevExpress.ExpressApp.ApplicationBuilder/WinXpoMultiTenancyApplicationBuilderExtensions/WinXpoMultiTenancyApplicationBuilderExtensions,applicationbuilder,1,False,"Tenant, WinForms, XPO",,"DevExpress.ExpressApp.ApplicationBuilder.WinXpoMultiTenancyApplicationBuilderExtensions._membersaltText, DevExpress.ExpressApp.ApplicationBuilder.WinXpoMultiTenancyApplicationBuilderExtensionsname, XPO"
data/raw_md/apidoc/DevExpress.ExpressApp.ApplicationBuilder/XPObjectSpaceProviderBuilderExtensions/AddXpo``1,applicationbuilder,1,False,"Actions, Object Space, WinForms, XPO",,"DevExpress.ExpressApp.ApplicationBuilder.IObjectSpaceProviderBuilder, DevExpress.ExpressApp.ApplicationBuilder.XPObjectSpaceProviderBuilderExtensions.AddXpo0, DevExpress.ExpressApp.ApplicationBuilder.XPObjectSpaceProviderOptions"
data/raw_md/apidoc/DevExpress.ExpressApp.ApplicationBuilder/XPObjectSpaceProviderBuilderExtensions/AddXpo``1,applicationbuilder,1,False,,,"DevExpress.ExpressApp.ApplicationBuilder, DevExpress.ExpressApp.Win.ApplicationBuilder"
data/raw_md/apidoc/DevExpress.ExpressApp.ApplicationBuilder/XPObjectSpaceProviderBuilderExtensions/AddXpo``1_1,applicationbuilder,1,False,".NET Runtime, Actions, Blazor UI, Object Space, XPO",,"DevExpress.ExpressApp.ApplicationBuilder.IObjectSpaceProviderServiceBasedBuilder, DevExpress.ExpressApp.ApplicationBuilder.XPObjectSpaceProviderBuilderExtensions.AddXpo0, DevExpress.ExpressApp.ApplicationBuilder.XPObjectSpaceProviderOptions"
data/raw_md/apidoc/DevExpress.ExpressApp.ApplicationBuilder/XPObjectSpaceProviderBuilderExtensions/AddXpo``1_1,applicationbuilder,1,False,Blazor UI,,"DevExpress.ExpressApp.ApplicationBuilder, DevExpress.ExpressApp.Blazor.ApplicationBuilder"
data/raw_md/apidoc/DevExpress.ExpressApp.Win.ApplicationBuilder/MiddleTierAuthenticationBuilderExtensions/AddWindowsAuthentication,applicationbuilder,1,False,"Authentication, Security System",,"DevExpress.ExpressApp.Win.ApplicationBuilder.IMiddleTierAuthenticationBuilder, DevExpress.ExpressApp.Win.ApplicationBuilder.IMiddleTierAuthenticationBuilderdescription, DevExpress.ExpressApp.Win.ApplicationBuilder.MiddleTierAuthenticationBuilderExtensions.AddWindowsAuthentication"
data/raw_md/apidoc/DevExpress.ExpressApp.Win.ApplicationBuilder/MiddleTierAuthenticationBuilderExtensions/UsePasswordAuthentication,applicationbuilder,1,False,"Actions, Authentication, Security System",,"DevExpress.ExpressApp.ApplicationBuilder.MiddleTierPasswordAuthenticationOptions, DevExpress.ExpressApp.Win.ApplicationBuilder.IMiddleTierAuthenticationBuilder, DevExpress.ExpressApp.Win.ApplicationBuilder.IMiddleTierAuthenticationBuilderdescription"
data/raw_md/apidoc/DevExpress.ExpressApp.Win.ApplicationBuilder/MiddleTierAuthenticationBuilderExtensions/UsePasswordAuthentication,applicationbuilder,1,False,,,"DevExpress.ExpressApp.ApplicationBuilder, DevExpress.ExpressApp.Win.ApplicationBuilder"
data/raw_md/apidoc/DevExpress.ExpressApp.Win.ApplicationBuilder/MiddleTierAuthenticationBuilderExtensions/UseWindowsAuthentication,applicationbuilder,1,False,"Authentication, Security System",,"DevExpress.ExpressApp.Win.ApplicationBuilder.IMiddleTierAuthenticationBuilder, DevExpress.ExpressApp.Win.ApplicationBuilder.IMiddleTierAuthenticationBuilderdescription, DevExpress.ExpressApp.Win.ApplicationBuilder.MiddleTierAuthenticationBuilderExtensions.UseWindowsAuthentication"
data/raw_md/apidoc/DevExpress.ExpressApp.Win.ApplicationBuilder/MiddleTierSecurityExtensions/UseMiddleTierMode,applicationbuilder,1,False,"Actions, Security System, XPO",,"DevExpress.ExpressApp.ApplicationBuilder.MiddleTierSecurityOptions, DevExpress.ExpressApp.Security.SecurityModuleOptions, DevExpress.ExpressApp.Win.ApplicationBuilder.IMiddleTierAuthenticationBuilderdescription"
data/raw_md/apidoc/DevExpress.ExpressApp.Win.ApplicationBuilder/MiddleTierSecurityExtensions/UseMiddleTierMode,applicationbuilder,1,False,,,"DevExpress.ExpressApp.ApplicationBuilder, DevExpress.ExpressApp.Win.ApplicationBuilder"
data/raw_md/apidoc/DevExpress.ExpressApp.Win.ApplicationBuilder/NotificationsApplicationBuilderExtensions/AddNotifications,applicationbuilder,1,False,"Actions, Notifications",,"DevExpress.ExpressApp.ApplicationBuilder.IModuleBuilder, DevExpress.ExpressApp.Notifications.Win.NotificationsOptions, DevExpress.ExpressApp.Win.ApplicationBuilder.IWinApplicationBuilder"
data/raw_md/apidoc/DevExpress.ExpressApp.Win.ApplicationBuilder/OfficeApplicationBuilderExtensions/AddOffice,applicationbuilder,1,False,Actions,,"DevExpress.ExpressApp.ApplicationBuilder.IModuleBuilder, DevExpress.ExpressApp.Office.Win.OfficeOptions, DevExpress.ExpressApp.Win.ApplicationBuilder.IWinApplicationBuilder"
data/raw_md/apidoc/DevExpress.ExpressApp.Win.ApplicationBuilder/PivotGridApplicationBuilderExtensions/AddPivotGrid,applicationbuilder,1,False,,,"DevExpress.ExpressApp.ApplicationBuilder.IModuleBuilder, DevExpress.ExpressApp.Win.ApplicationBuilder.IWinApplicationBuilder, DevExpress.ExpressApp.Win.ApplicationBuilder.PivotGridApplicationBuilderExtensions.AddPivotGrid"
data/raw_md/apidoc/DevExpress.ExpressApp.Win.ApplicationBuilder/PivotGridApplicationBuilderExtensions/AddPivotGrid,applicationbuilder,1,False,Modules,,"DevExpress.ExpressApp.ApplicationBuilder, DevExpress.ExpressApp.Win.ApplicationBuilder"
data/raw_md/apidoc/DevExpress.ExpressApp.Win.ApplicationBuilder/ReportsApplicationBuilderExtensions/AddReports,applicationbuilder,1,False,"Actions, Reports, Reports V2",,"DevExpress.ExpressApp.ApplicationBuilder.IModuleBuilder, DevExpress.ExpressApp.ReportsV2.Win.ReportsOptions, DevExpress.ExpressApp.Win.ApplicationBuilder.IWinApplicationBuilder"
data/raw_md/apidoc/DevExpress.ExpressApp.Win.ApplicationBuilder/SchedulerApplicationBuilderExtensions/AddScheduler,applicationbuilder,1,False,"Actions, Scheduler",,"DevExpress.ExpressApp.ApplicationBuilder.IModuleBuilder, DevExpress.ExpressApp.Scheduler.Win.SchedulerOptions, DevExpress.ExpressApp.Win.ApplicationBuilder.IWinApplicationBuilder"
data/raw_md/apidoc/DevExpress.ExpressApp.Win.ApplicationBuilder/TreeListEditorsApplicationBuilderExtensions/AddTreeListEditors,applicationbuilder,1,False,"Actions, List Editors, Tree List",,"DevExpress.ExpressApp.ApplicationBuilder.IModuleBuilder, DevExpress.ExpressApp.TreeListEditors.Win.TreeListEditorOptions, DevExpress.ExpressApp.Win.ApplicationBuilder.IWinApplicationBuilder"
data/raw_md/apidoc/DevExpress.ExpressApp.Win.ApplicationBuilder/ValidationApplicationBuilderExtensions/AddValidation,applicationbuilder,1,False,"Actions, Validation",,"DevExpress.ExpressApp.ApplicationBuilder.IModuleBuilder, DevExpress.ExpressApp.Validation.ValidationModuleOptions, DevExpress.ExpressApp.Win.ApplicationBuilder.IWinApplicationBuilder"
data/raw_md/apidoc/DevExpress.ExpressApp.Win.ApplicationBuilder/ValidationApplicationBuilderExtensions/AddValidation,applicationbuilder,1,False,Modules,,"DevExpress.ExpressApp.ApplicationBuilder, DevExpress.ExpressApp.Win.ApplicationBuilder"
data/raw_md/apidoc/DevExpress.ExpressApp.Win.ApplicationBuilder/WinAuthenticationBuilderExtensions/UseExternalAuthentication``1,applicationbuilder,1,False,"Authentication, Security System, WinForms",,"DevExpress.ExpressApp.Win.ApplicationBuilder.IWinAuthenticationBuilder, DevExpress.ExpressApp.Win.ApplicationBuilder.IWinAuthenticationBuilderdescription, DevExpress.ExpressApp.Win.ApplicationBuilder.WinAuthenticationBuilderExtensions.UseExternalAuthentication"
data/raw_md/apidoc/DevExpress.ExpressApp.Win.ApplicationBuilder/WinSecurityBuilderExtensions/UsePasswordAuthentication,applicationbuilder,1,False,"Actions, Authentication, Security System",,"DevExpress.ExpressApp.Security.AuthenticationStandardProviderOptions, DevExpress.ExpressApp.Win.ApplicationBuilder.IWinAuthenticationBuilder, DevExpress.ExpressApp.Win.ApplicationBuilder.IWinAuthenticationBuilderdescription"
data/raw_md/apidoc/DevExpress.ExpressApp.Win.ApplicationBuilder/WinSecurityBuilderExtensions/UsePasswordAuthentication,applicationbuilder,1,False,,,"DevExpress.ExpressApp.ApplicationBuilder, DevExpress.ExpressApp.Win.ApplicationBuilder"
data/raw_md/apidoc/DevExpress.ExpressApp.Win.ApplicationBuilder/WinSecurityBuilderExtensions/UseWindowsAuthentication,applicationbuilder,1,False,"Actions, Authentication, Security System",,"DevExpress.ExpressApp.Security.Authentication.WindowsAuthenticationOptions, DevExpress.ExpressApp.Win.ApplicationBuilder.IWinAuthenticationBuilder, DevExpress.ExpressApp.Win.ApplicationBuilder.IWinAuthenticationBuilderdescription"
data/raw_md/apidoc/DevExpress.ExpressApp.Win.ApplicationBuilder/WinSecurityBuilderExtensions/UseWindowsAuthentication,applicationbuilder,1,False,,,"DevExpress.ExpressApp.ApplicationBuilder, DevExpress.ExpressApp.Win.ApplicationBuilder"
data/raw_md/apidoc/DevExpress.ExpressApp.Win/WinShowViewStrategyBase/ShowStartupWindow1131439,startup,1,False,,,DevExpress.ExpressApp.Win.WinShowViewStrategyBase.ShowStartupWindowname
data/raw_md/apidoc/DevExpress.ExpressApp.Win/WinShowViewStrategyBase/StartupWindowLoad1137426,startup,1,False,,,DevExpress.ExpressApp.Win.WinShowViewStrategyBase.StartupWindowLoadname
data/raw_md/apidoc/DevExpress.ExpressApp.WebApi.Services/WebApiStartupExtensions/AddXafWebApi,startup,1,False,"Actions, Blazor UI, Business Objects",,"DevExpress.ExpressApp.WebApi.Services.WebApiOptions, DevExpress.ExpressApp.WebApi.Services.WebApiStartupExtensions.AddXafWebApi, DevExpress.ExpressApp.WebApi.Services.XafWebApiBuilderdescription"
data/raw_md/apidoc/DevExpress.ExpressApp.WebApi.Services/WebApiStartupExtensions/AddXafWebApi,startup,1,False,XPO,,XPO
data/raw_md/apidoc/DevExpress.ExpressApp.SystemModule/ShowNavigationItemController/GetStartupNavigationItem1130816,startup,1,False,"Actions, Navigation",,"DevExpress.ExpressApp.Actions.ChoiceActionItemdescription, DevExpress.ExpressApp.SystemModule.ShowNavigationItemController.GetStartupNavigationItemname"
data/raw_md/apidoc/DevExpress.ExpressApp.Security/SecurityModule/GetStartupActions1136711,startup,1,False,Actions,,"DevExpress.ExpressApp.Actions.PopupWindowShowAction, DevExpress.ExpressApp.Security.SecurityModule.GetStartupActionsname"
data/raw_md/apidoc/DevExpress.ExpressApp.Office.Blazor/StartupExtensions/AddXafOffice,startup,1,False,".NET Runtime, Blazor UI",,DevExpress.ExpressApp.Office.Blazor.StartupExtensions.AddXafOffice
data/raw_md/apidoc/DevExpress.ExpressApp.Office.Blazor/StartupExtensions/StartupExtensions,startup,1,False,".NET Runtime, Blazor UI",,"DevExpress.ExpressApp.Office.Blazor.StartupExtensions._membersaltText, DevExpress.ExpressApp.Office.Blazor.StartupExtensionsname"
data/raw_md/apidoc/DevExpress.ExpressApp.MultiTenancy.Xpo/IMultiTenancyApplicationBuilder/WithCustomTenantType``1,applicationbuilder,1,False,"Actions, Tenant, XPO",,"DevExpress.ExpressApp.MultiTenancy.Xpo.IMultiTenancyApplicationBuilder.WithCustomTenantType, DevExpress.ExpressApp.MultiTenancy.Xpo.IMultiTenancyApplicationBuilderdescription, Xpo"
data/raw_md/apidoc/DevExpress.ExpressApp.MultiTenancy.Xpo/IMultiTenancyApplicationBuilder/WithMultiTenancyModelDifferenceStore,applicationbuilder,1,False,"Actions, Application Model, Tenant, XPO",,"DevExpress.ExpressApp.ApplicationBuilder.ModelDifferencesOptions, DevExpress.ExpressApp.MultiTenancy.Xpo.IMultiTenancyApplicationBuilder.WithMultiTenancyModelDifferenceStore, DevExpress.ExpressApp.MultiTenancy.Xpo.IMultiTenancyApplicationBuilderdescription"
data/raw_md/apidoc/DevExpress.ExpressApp.MultiTenancy.Xpo/IMultiTenancyApplicationBuilder/WithMultiTenancyModelDifferenceStore``1,applicationbuilder,1,False,"Actions, Application Model, Tenant, XPO",,"DevExpress.ExpressApp.ApplicationBuilder.ModelDifferencesOptions, DevExpress.ExpressApp.MultiTenancy.Xpo.IMultiTenancyApplicationBuilder.WithMultiTenancyModelDifferenceStore, DevExpress.ExpressApp.MultiTenancy.Xpo.IMultiTenancyApplicationBuilderdescription"
data/raw_md/apidoc/DevExpress.ExpressApp.MultiTenancy.Xpo/IMultiTenancyApplicationBuilder/WithSharedBusinessObjects,applicationbuilder,1,False,"Actions, Business Objects, Tenant, XPO",,"DevExpress.ExpressApp.MultiTenancy.Xpo.IMultiTenancyApplicationBuilder.WithSharedBusinessObjects, DevExpress.ExpressApp.MultiTenancy.Xpo.IMultiTenancyApplicationBuilderdescription, Xpo"
data/raw_md/apidoc/DevExpress.ExpressApp.MultiTenancy.Xpo/IMultiTenancyApplicationBuilder/WithSharedBusinessObjects,applicationbuilder,1,False,"Business Objects, Tenant",,
data/raw_md/apidoc/DevExpress.ExpressApp.MultiTenancy.Xpo/IMultiTenancyApplicationBuilder/WithTenantResolver``1,applicationbuilder,1,False,"Authentication, Tenant, XPO",,"DevExpress.ExpressApp.MultiTenancy.Xpo.IMultiTenancyApplicationBuilder.WithTenantResolver, Xpo"
data/raw_md/apidoc/DevExpress.ExpressApp.MultiTenancy.EFCore/IMultiTenancyApplicationBuilder/WithCustomTenantType``1,applicationbuilder,1,False,"Actions, Tenant",,"DevExpress.ExpressApp.MultiTenancy.EFCore.IMultiTenancyApplicationBuilder.WithCustomTenantType, DevExpress.ExpressApp.MultiTenancy.EFCore.IMultiTenancyApplicationBuilderdescription, EFCore"
