ticket_id,title,type,status,feedback_type,created,concept_count,concepts
T1310514,Obsolete information about CreateDefaultObjectSpaceProvider,InvalidInfo,Closed,Negative,2025-10-15T00:32:54.057,56,"Blazor, WinForms, Web API Service, Entity Framework Core, XPO, Non-persistent Object, Business Object, Business Logic, Security System, Application Model, Views, Layout, .NET Runtime, XAF Application, Object Space Provider, Database Connection, Object Relationships, Business Object Lifecycle, Collection Property, Reference Property, Calculated Property, Property Metadata, Criteria, Built-in Criteria Operators, Custom Criteria Functions, Multiple Databases, Direct SQL, Auto-Increment Fields, Optimistic Locking, Database Update, View Types, List View, List View Data Access Modes, Detail View, Dashboard View, Lookup View, View Items, Static View Items, Dashboard View Items, Action Container View Items, View Customization, Master-Detail Views, Nested Views, View Variants, View Lifecycle, Layout Generation, Layout Runtime Customization, Popup Windows, Tabbed MDI Interface, Filtering UI, Spreadsheet Control, Validation, PivotGrid, Clone Object, Template Kit, Legacy .NET Framework"
T1309586,Improve BlazorControlViewItem help topic,HardToUnderstand,Archived,Negative,2025-10-06T08:17:31.663,47,"Blazor, Web API Service, Entity Framework Core, XPO, Non-persistent Object, Business Object, Business Logic, Security System, Views, Property Editors, XAF Application, Model Extension, Object Space Provider, Database Connection, Object Relationships, Business Object Lifecycle, Collection Property, Reference Property, Calculated Property, Property Metadata, Criteria, Built-in Criteria Operators, Custom Criteria Functions, Multiple Databases, Direct SQL, Auto-Increment Fields, Optimistic Locking, Database Update, View Types, Property Editor Types, Standard Property Editors, Lookup Property Editors, Collection Property Editors, Specialized Property Editors, Property Editor Customization, Property Editor Features, Controller Types, Controller Customization, Filtering UI, Spreadsheet Control, Validation, PivotGrid, Clone Object, Office Module, Tenant, Threading Issues, Demo Applications"
T1309299,Readme of the 'sequential generator' example is outdated,NewFeatureIssue,Archived,Negative,2025-10-02T04:39:33.717,37,"Blazor, Entity Framework Core, XPO, Business Object, Business Logic, Application Model, Views, List Editors, Layout, Model Nodes, Model Editor, Model Differences, Model Extension, Model Cache, ApplicationBuilder, Database Connection, Auto-Increment Fields, View Types, List View, List View Data Access Modes, Detail View, Dashboard View, Lookup View, View Items, Static View Items, Dashboard View Items, Action Container View Items, View Customization, Master-Detail Views, Nested Views, View Variants, View Lifecycle, Layout Generation, Layout Runtime Customization, Popup Windows, Controller Activation, Target Properties"
T1309006,Format a Property Value | XAF: Cross-Platform .NET App UI & Web API | DevExpress Documentation,UnusableFeedback,Closed,PositiveWithConcerns,2025-09-30T00:50:35.86,53,"Blazor, WinForms, Web API Service, Entity Framework Core, XPO, Non-persistent Object, Business Object, Business Logic, Application Model, Views, Property Editors, Windows, Layout, XAF Application, Model Editor, Model Extension, Object Space Provider, Database Connection, Object Relationships, Business Object Lifecycle, Collection Property, Reference Property, Calculated Property, Property Metadata, Criteria, Built-in Criteria Operators, Custom Criteria Functions, Multiple Databases, Direct SQL, Auto-Increment Fields, Optimistic Locking, Database Update, View Types, Detail View, View Items, View Variants, Layout Generation, Layout Runtime Customization, Property Editor Types, Standard Property Editors, Lookup Property Editors, Collection Property Editors, Specialized Property Editors, Property Editor Customization, Property Editor Features, Filtering UI, Spreadsheet Control, Accordion Control, Action Containers, Validation, PivotGrid, Clone Object, Office Module"
T1308472,audit-trail-module-xpo doesn't reflect changes from BC about non-persistent properties,InvalidInfo,Closed,Negative,2025-09-24T12:49:35.713,26,"XPO, Non-persistent Object, Business Object, Business Logic, Application Model, Views, Layout, View Types, List View, List View Data Access Modes, Detail View, Dashboard View, Lookup View, View Items, Static View Items, Dashboard View Items, Action Container View Items, View Customization, Master-Detail Views, Nested Views, View Variants, View Lifecycle, Layout Generation, Layout Runtime Customization, Popup Windows, Audit Trail"
T1308267,Mistake in How to Add an Unbound Control help topic,InvalidInfo,Closed,Negative,2025-09-23T08:00:32.103,6,"Property Editors, Spreadsheet Control, Reports, Report Parameters, Reports V2, Mail Merge"
T1306647,Use the Security System - missing essential DbSets,InsuffInfo,Closed,Negative,2025-09-08T23:29:29.887,23,"Web API Service, Entity Framework Core, XPO, Business Logic, Security System, Authentication, Authorization, Application Model, XAF Application, Model Differences, Model Extension, Middle Tier, Object Relationships, Business Object Lifecycle, Built-in Controllers, CRUD Controllers, List View Controllers, Built-in Actions, Security Strategy, Custom User Management, Permission Policies, Audit Trail, File Attachments"
T1306344,Unable to use the FieldListMaxExpandLevelOnSearch property in web,NonDocScenario,Closed,Negative,2025-09-04T13:25:32.203,14,"Blazor, WinForms, List Editors, Collection Property, Reference Property, Calculated Property, Property Metadata, Tree List, Lookup Property Editors, Collection Property Editors, Reports, Dashboards, Tenant, Threading Issues"
T1306062,Create a Calculated Property - useless instruction,InvalidInfo,Closed,Negative,2025-09-02T21:51:53.947,7,"Business Logic, Collection Property, Reference Property, Calculated Property, Property Metadata, Lookup Property Editors, Controller Customization"
T1305694,Create a Calculated Property | XAF: Cross-Platform .NET App UI & Web API | DevExpress Documentation,InvalidInfo,Closed,PositiveWithConcerns,2025-08-29T12:12:30.807,45,"Blazor, WinForms, Web API Service, Entity Framework Core, XPO, Non-persistent Object, Business Object, Business Logic, Views, Property Editors, List Editors, Model Extension, Object Space Provider, Database Connection, Object Relationships, Business Object Lifecycle, Collection Property, Reference Property, Calculated Property, Property Metadata, Criteria, Built-in Criteria Operators, Custom Criteria Functions, Multiple Databases, Direct SQL, Auto-Increment Fields, Optimistic Locking, Database Update, View Types, List View, Inline Editing, Tree List, Lookup Property Editors, Collection Property Editors, Property Editor Features, Object View Controllers, List View Controllers, Controller Customization, Tabbed MDI Interface, Filtering UI, Spreadsheet Control, Validation, Conditional Appearance, PivotGrid, Clone Object"
T1304752,How to: Display a List View With Data From a Stored Procedure From the Navigation | XAF: Cross-Platf,InvalidCode,Closed,PositiveWithConcerns,2025-08-21T07:02:09.033,59,"Blazor, WinForms, Web API Service, Entity Framework Core, XPO, Non-persistent Object, Business Object, Business Logic, Application Model, Views, List Editors, Layout, Model Extension, Object Space Provider, Database Connection, Object Relationships, Business Object Lifecycle, Collection Property, Reference Property, Calculated Property, Property Metadata, Criteria, Built-in Criteria Operators, Custom Criteria Functions, Multiple Databases, Direct SQL, Auto-Increment Fields, Optimistic Locking, Database Update, View Types, List View, List View Data Access Modes, Detail View, Dashboard View, Lookup View, View Items, Static View Items, Dashboard View Items, Action Container View Items, View Customization, Master-Detail Views, Nested Views, View Variants, View Lifecycle, Layout Generation, Layout Runtime Customization, Popup Windows, Object View Controllers, List View Controllers, Tabbed MDI Interface, Filtering UI, Spreadsheet Control, Navigation, Validation, Report Parameters, Scheduler, Recurring Events, PivotGrid, Clone Object"
T1304108,Function Criteria Operators contains string that lead to a parse exception,InvalidCode,Closed,Negative,2025-08-14T11:11:55.677,10,"Authentication, Views, List Editors, Model Extension, Criteria, Built-in Criteria Operators, Custom Criteria Functions, View Types, Filtering UI, Conditional Appearance"
T1303785,View Variants (Switch Document Layouts) | XAF: Cross-Platform .NET App UI & Web API | DevExpress Doc,UnusableFeedback,Closed,PositiveWithConcerns,2025-08-12T11:02:08.007,44,"Blazor, WinForms, Web API Service, Non-persistent Object, Business Logic, Application Model, Views, List Editors, Controllers and Actions, Windows, Layout, .NET Runtime, XAF Application, Model Differences, Model Extension, Object Space Provider, Object Relationships, Business Object Lifecycle, View Types, List View, List View Data Access Modes, Detail View, Dashboard View, Lookup View, View Items, Static View Items, Dashboard View Items, Action Container View Items, View Customization, Master-Detail Views, Nested Views, View Variants, View Lifecycle, Layout Generation, Layout Runtime Customization, Popup Windows, Object View Controllers, Built-in Controllers, List View Controllers, Controller Customization, Navigation, Action State Management, State Machine, Clone Object"
T1303625,Display a Tree List using the ITreeNode Interface | XAF: Cross-Platform .NET App UI & Web API | DevE,InvalidCode,Archived,PositiveWithConcerns,2025-08-11T10:02:08.12,62,"Blazor, WinForms, Web API Service, Entity Framework Core, XPO, Non-persistent Object, Business Object, Business Logic, Application Model, Views, List Editors, Controllers and Actions, Windows, Layout, .NET Runtime, XAF Application, Model Extension, Object Space Provider, Tree Node Interface, View Types, List View, List View Data Access Modes, Detail View, Dashboard View, Lookup View, View Items, Static View Items, Dashboard View Items, Action Container View Items, View Customization, Master-Detail Views, Nested Views, View Variants, View Lifecycle, Layout Generation, Layout Runtime Customization, Popup Windows, Tree List, Property Editor Types, Standard Property Editors, Lookup Property Editors, Collection Property Editors, Specialized Property Editors, Property Editor Customization, Property Editor Features, Controller Types, View Controller, Generic View Controllers, Object View Controllers, Window Controller, Dialog Controller, Tabbed MDI Interface, Actions, Action Types, Simple Action, Parametrized Action, Popup Window Show Action, Single Choice Action, Office Module, Testing, Logging, Diagnostic Tools"
T1303299,Scehduler configuration docs are difficult to find,HardToFind,Archived,Negative,2025-08-07T07:38:37.353,26,"Blazor, Application Model, Views, List Editors, XAF Application, Model Nodes, Model Editor, Model Differences, Model Extension, Model Cache, ApplicationBuilder, Database Connection, Collection Property, Reference Property, Calculated Property, Property Metadata, Criteria, Built-in Criteria Operators, Custom Criteria Functions, View Types, Lookup Property Editors, Controller Activation, Target Properties, Filtering UI, Scheduler, Recurring Events"
T1300621,'How to Add an Unbound Control' has wrong info,InvalidInfo,Closed,Negative,2025-07-21T12:17:41.573,16,"WinForms, Business Logic, Views, Property Editors, Controllers and Actions, View Types, Detail View, View Items, Nested Views, Object View Controllers, Controller Customization, Tabbed MDI Interface, Context Menus, Spreadsheet Control, Mail Merge, Office Module"
T1300308,Missing info about contradiction between Template Localization and Satellite Assemblies (Localizatio,InsuffInfo,Archived,Negative,2025-07-17T22:13:58.517,33,"WinForms, Web API Service, Entity Framework Core, XPO, Non-persistent Object, Business Object, Business Logic, Application Model, Property Editors, XAF Application, Object Space Provider, Database Connection, Object Relationships, Business Object Lifecycle, Collection Property, Reference Property, Calculated Property, Property Metadata, Criteria, Built-in Criteria Operators, Custom Criteria Functions, Multiple Databases, Direct SQL, Auto-Increment Fields, Optimistic Locking, Database Update, Tabbed MDI Interface, Filtering UI, Spreadsheet Control, Validation, PivotGrid, Clone Object, Programmatic Localization"
T1296694,ModelValidationRulesNodeGenerator Class | XAF: Cross-Platform .NET App UI & Web API | DevExpress Doc,InvalidInfo,Closed,PositiveWithConcerns,2025-06-20T16:45:47.907,22,"Blazor, WinForms, Web API Service, Entity Framework Core, XPO, Non-persistent Object, Business Object, Business Logic, Application Model, Views, .NET Runtime, XAF Application, Model Extension, Object Space Provider, Object Relationships, Business Object Lifecycle, Tabbed MDI Interface, Navigation, Validation, Custom Validation Rules, Error Styling, Office Module"
T1295602,Soft Deletion (Deferred Object Deletion) | XAF: Cross-Platform .NET App UI & Web API | DevExpress Do,InsuffCode,Closed,PositiveWithConcerns,2025-06-12T17:25:30.77,25,"Blazor, WinForms, Web API Service, Entity Framework Core, XPO, Business Object, Business Logic, Application Model, Views, Model Nodes, Model Editor, Model Differences, Model Extension, Model Cache, ApplicationBuilder, Object Space Provider, Database Connection, Object Relationships, Business Object Lifecycle, Collection Property, Reference Property, Calculated Property, Property Metadata, Controller Activation, Target Properties"
T1293448,Describe new XAF0033 warning,NewFeatureIssue,Closed,Negative,2025-05-27T15:56:31.933,12,"Entity Framework Core, XPO, Business Object, Model Extension, Collection Property, Reference Property, Calculated Property, Property Metadata, View Variants, Testing, Logging, Diagnostic Tools"
T1292571,Action hidden by a Conditional Appearance Rule appears as disabled in List Views,InsuffInfo,Closed,Negative,2025-05-21T10:51:00.1,63,"Blazor, Application Model, Views, List Editors, Controllers and Actions, Layout, XAF Application, Model Extension, Model Cache, Async Operations, Collection Property, Reference Property, Calculated Property, Property Metadata, View Types, List View, List View Data Access Modes, Detail View, Dashboard View, Lookup View, View Items, Static View Items, Dashboard View Items, Action Container View Items, View Customization, Master-Detail Views, Nested Views, View Variants, View Lifecycle, Layout Generation, Layout Runtime Customization, Popup Windows, Property Editor Types, Standard Property Editors, Lookup Property Editors, Collection Property Editors, Specialized Property Editors, Property Editor Customization, Property Editor Features, Controller Types, View Controller, Generic View Controllers, Object View Controllers, Window Controller, Dialog Controller, Controller Activation, Target Properties, Controller Lifecycle, Built-in Controllers, CRUD Controllers, List View Controllers, Controller Customization, Actions, Action Types, Simple Action, Conditional Appearance, State Machine, Office Module, Tenant, Threading Issues, Performance Optimization, Memory Management, Scaling Architecture"
T1289742,Add documentation about how to use xUnit,InsuffInfo,Archived,Negative,2025-05-01T05:23:30.213,19,"Business Logic, List Editors, Controllers and Actions, Model Extension, Lookup View, Lookup Property Editors, Controller Customization, Context Menus, Actions, Action Types, Simple Action, Parametrized Action, Popup Window Show Action, Single Choice Action, Action Containers, Action State Management, Action Customization, Built-in Actions, Testing"
T1289372,ModificationsCheckingMode  + new item row limitiation,InsuffInfo,Closed,Negative,2025-04-29T12:10:05.317,14,"Blazor, Web API Service, Entity Framework Core, XPO, Business Logic, Windows, Model Extension, Object Space Provider, CRUD Controllers, Mail Merge, Office Module, Tenant, Threading Issues, Legacy .NET Framework"
T1286784,"FROM PM: Add a note about Visual Studio code style settings, which lead to runtime errors",InsuffInfo,Archived,Negative,2025-04-10T10:13:01.217,22,"WinForms, Non-persistent Object, Business Logic, Views, Controllers and Actions, Application Templates, .NET Runtime, Modules, Model Extension, View Items, Static View Items, Dashboard View Items, Action Container View Items, Layout Generation, Controller Customization, Tabbed MDI Interface, Reports, Report Parameters, Reports V2, Mail Merge, Tenant, Threading Issues"
T1286688,FROM PM: Add a Collapse/Expand TreeList Nodes section to the TreeList Editors Module docs,InsuffCode,Closed,Negative,2025-04-09T20:50:21.44,37,"Blazor, Business Logic, Security System, Views, Property Editors, List Editors, Controllers and Actions, XAF Application, Model Extension, Criteria, Built-in Criteria Operators, Custom Criteria Functions, Tree Node Interface, View Types, View Variants, View Lifecycle, Tree List, Property Editor Types, Standard Property Editors, Lookup Property Editors, Collection Property Editors, Specialized Property Editors, Property Editor Customization, Property Editor Features, View Controller, Generic View Controllers, Object View Controllers, Controller Activation, Controller Lifecycle, Controller Customization, Filtering UI, Spreadsheet Control, Scheduler, Recurring Events, Notifications, Clone Object, Office Module"
T1285906,OAuth and Custom Authentication - a crucial aspect is not emphasized,InsuffInfo,Archived,Negative,2025-04-04T20:23:14.897,45,"WinForms, Web API Service, Entity Framework Core, XPO, Non-persistent Object, Business Object, Business Logic, Security System, Authentication, Authorization, Views, XAF Application, Model Extension, Middle Tier, Object Space Provider, Database Connection, Object Relationships, Business Object Lifecycle, Collection Property, Reference Property, Calculated Property, Property Metadata, Criteria, Built-in Criteria Operators, Custom Criteria Functions, Multiple Databases, Direct SQL, Auto-Increment Fields, Optimistic Locking, Database Update, View Types, Built-in Controllers, CRUD Controllers, List View Controllers, Tabbed MDI Interface, Filtering UI, Spreadsheet Control, Built-in Actions, Security Strategy, Custom User Management, Permission Policies, Audit Trail, Validation, PivotGrid, Clone Object"
T1285512,Supply Additional Logon Parameters article doesn't consider Middle-Tier scenario,InvalidInfo,Closed,Negative,2025-04-03T05:19:03.9,20,"WinForms, Web API Service, Entity Framework Core, XPO, Business Logic, Security System, Authentication, Authorization, Model Extension, Middle Tier, Object Space Provider, Controller Types, Tabbed MDI Interface, Security Strategy, Custom User Management, Permission Policies, Audit Trail, Report Parameters, Tenant, Threading Issues"
T1283433,[S ] Key Properties - EF Core string key property,InsuffInfo,Archived,,2025-03-20T21:07:59.05,51,"Entity Framework Core, XPO, Non-persistent Object, Business Object, Business Logic, Object Space Provider, Database Connection, Object Relationships, Business Object Lifecycle, Collection Property, Reference Property, Calculated Property, Property Metadata, Criteria, Built-in Criteria Operators, Custom Criteria Functions, Multiple Databases, Direct SQL, Auto-Increment Fields, Optimistic Locking, Database Update, View Types, List View, Detail View, Dashboard View, Lookup View, Property Editor Types, Standard Property Editors, Lookup Property Editors, Collection Property Editors, Specialized Property Editors, Property Editor Customization, Property Editor Features, Controller Types, View Controller, Generic View Controllers, Object View Controllers, Window Controller, Dialog Controller, Filtering UI, Spreadsheet Control, Action Types, Simple Action, Parametrized Action, Popup Window Show Action, Single Choice Action, Validation, PivotGrid, Clone Object, Office Module, Threading Issues"
T1282975,Typo in the code snippet - ExceptionService Class,InvalidCode,Closed,,2025-03-18T20:20:39.273,1,Model Extension
T1282060,Implement a Property Editor Based on a Custom Component ,InsuffInfo,Archived,,2025-03-13T06:11:19.22,7,"Blazor, Property Editors, Collection Property, Reference Property, Calculated Property, Property Metadata, Controller Types"
T1282054,IReportDataSourceHelper.BeforeShowPreview wrong info,InvalidInfo,Closed,,2025-03-13T05:41:55.83,4,"Model Extension, Report Parameters, Reports V2, Demo Applications"
T1280629,"Outdated info in the ""DxGridListEditor Class"" help topic",InvalidInfo,Closed,,2025-03-04T20:09:23.35,42,"Blazor, Entity Framework Core, XPO, Non-persistent Object, Business Object, Business Logic, List Editors, Object Space Provider, Database Connection, Object Relationships, Business Object Lifecycle, Collection Property, Reference Property, Calculated Property, Property Metadata, Criteria, Built-in Criteria Operators, Custom Criteria Functions, Multiple Databases, Direct SQL, Auto-Increment Fields, Optimistic Locking, Database Update, List View, List View Data Access Modes, Inline Editing, Property Editor Types, Standard Property Editors, Lookup Property Editors, Collection Property Editors, Specialized Property Editors, Property Editor Customization, Property Editor Features, Filtering UI, Spreadsheet Control, Validation, Reports, PivotGrid, Clone Object, Office Module, Tenant, Threading Issues"
T1280134,Help topic misses links to XPO examples,InsuffInfo,Closed,,2025-02-28T20:55:59.473,30,"Entity Framework Core, XPO, Non-persistent Object, Business Object, Business Logic, Security System, Authentication, List Editors, Object Space Provider, Database Connection, Object Relationships, Business Object Lifecycle, Collection Property, Reference Property, Calculated Property, Property Metadata, Criteria, Built-in Criteria Operators, Custom Criteria Functions, Multiple Databases, Direct SQL, Auto-Increment Fields, Optimistic Locking, Database Update, Filtering UI, Spreadsheet Control, Validation, File Attachments, PivotGrid, Clone Object"
T1279094,[S 3] A missing example of using CustomCreateObjectSpaceProvider ,InsuffCode,Archived,,2025-02-24T10:29:35.913,44,"Entity Framework Core, XPO, Non-persistent Object, Business Object, Business Logic, Security System, Authentication, Authorization, Application Model, Modules, Model Nodes, Model Editor, Model Differences, Model Extension, Model Cache, ApplicationBuilder, Object Space Provider, Database Connection, Object Relationships, Business Object Lifecycle, Collection Property, Reference Property, Calculated Property, Property Metadata, Criteria, Built-in Criteria Operators, Custom Criteria Functions, Multiple Databases, Direct SQL, Auto-Increment Fields, Optimistic Locking, Database Update, View Variants, Controller Activation, Target Properties, Filtering UI, Spreadsheet Control, Validation, Conditional Appearance, Mail Merge, PivotGrid, Clone Object, Office Module, Testing"
