category,feature,matched_tickets,sample_titles
AI,AI,0,
Application Model,Application Model,1049,"Master-Detail behavior between two nested ListViews in a single DetailView (Blazor XAF EF Core); Cannot open Model Editor (model.xafml) – ""Cannot create an application instance, !ModuleHelper.IsDesignMode"" error; Saving theme preference"
Application Model,"Cache (ModelAssembly, EnableModelCache)",2,An item with the same key has already been added; Model.DesignedDiffs.xafml will not open after updating to v23.1 and verson 24.1 
Application Model,Default and Custom Attributes to Customize Model,2498,Insert Dashboard Item in Detail View related to this record; Master-Detail behavior between two nested ListViews in a single DetailView (Blazor XAF EF Core); XAF Blazor EF Core: Collapsing LayoutGroup in Dashboard Does Not Expand Other Layout Groups
Application Model,Model Difference Storages,169,Saving theme preference; using forced skin for all users; Problem with solution XAF - How to Save and Share Custom View Settings in WebForms
Application Model,Model Editor,832,"Insert Dashboard Item in Detail View related to this record; Master-Detail behavior between two nested ListViews in a single DetailView (Blazor XAF EF Core); Cannot open Model Editor (model.xafml) – ""Cannot create an application instance, !ModuleHelper.IsDesignMode"" error"
Application Model,"Read, Customize, or Extend the Application Model",2127,Insert Dashboard Item in Detail View related to this record; Master-Detail behavior between two nested ListViews in a single DetailView (Blazor XAF EF Core); How to create a Elsa Workflow service that can use ObjectSpaces
Audit Trail Module,Audit Trail Module,93,Calculated CreatedX and LastModifiedX properties using the AuditTrailModule?; Save AuditTrail in a separate Session or ObjectSpace?; Assistance Needed to Investigate Anomalous Audit Records
Audit Trail Module,Audit History in the UI,11,View AuditTrail changes with MiddleTier in a popup; Suggestion: Update AuditedObjectWeakReference.GetAuditTrail method to look for multiple AuditedObjectWeakReference instances with the same type / key; SplitQuery not work with postgres.
Audit Trail Module,Audit in Non-XAF Apps,72,How to create a Elsa Workflow service that can use ObjectSpaces; NonPersistent Detail View not showing PersistentObject list in lookup; Question on WPF - XAF - Integration
Audit Trail Module,Custom Operations and Other Storage Classes,641,XAF Blazor EF Core: Collapsing LayoutGroup in Dashboard Does Not Expand Other Layout Groups; Label and Status within Scheduler Event; using forced skin for all users
Audit Trail Module,"Performance, Purge History, Lightweight Mode",207,OnModelCreating Repeated Execution; XtraReports Expression Editor: Severe performance degradation with types containing many members (4000+) - path depth limitation needed; Re: How to check if a new password matches any of previously used passwords
Business/Data Model Design,Business Model Design,794,"Insert Dashboard Item in Detail View related to this record; Cannot open Model Editor (model.xafml) – ""Cannot create an application instance, !ModuleHelper.IsDesignMode"" error; Saving theme preference"
Business/Data Model Design,"Aliased, Calculated, and Custom Fields/Metadata",429,Calculated CreatedX and LastModifiedX properties using the AuditTrailModule?; Invalid datasource after export and import of a report; XPO Generating nvarchar(4000) Parameter for nvarchar(100) Column Causing Index Seek Issue
Business/Data Model Design,Custom Implementations of Default XAF BCL Entities,1140,XAF Blazor - Localize the application name in the unsaved changes confirmation; XPO Generating nvarchar(4000) Parameter for nvarchar(100) Column Causing Index Seek Issue; Override the Administrator access in navigation
Business/Data Model Design,"DateTime Properties (UTC, conversion)",90,Calculated CreatedX and LastModifiedX properties using the AuditTrailModule?; Object properties operands that are passed to ICustomFunctionOperatorConvertibleToExpression.Convert only provide the ID.; Unsorted property-edited data in  alistview - DevExpress 24.2.8
Business/Data Model Design,Issues with Non-Unique Key Values,632,Calculated CreatedX and LastModifiedX properties using the AuditTrailModule?; Object properties operands that are passed to ICustomFunctionOperatorConvertibleToExpression.Convert only provide the ID.; Another fix related to localization
Business/Data Model Design,"Legacy DB Mapping (SQL View, Composite Key)",637,WinForms XAF: N+1 SQL Queries in ListView.DataViewMode when AppearanceRule.Criteria references non-visible property; XPO Generating nvarchar(4000) Parameter for nvarchar(100) Column Causing Index Seek Issue; ListView for XAF - The filter area is rendered incorrectly in the Fluent theme
Business/Data Model Design,Non-Persistent Objects,746,How to create a Elsa Workflow service that can use ObjectSpaces; Calculated CreatedX and LastModifiedX properties using the AuditTrailModule?; XAF : Example of updating a persistent list based on selection from another persistent list
Business/Data Model Design,ORM Data Model Wizard/Designer,2667,XAF Blazor - Dashboard Menu Parameters checkbox missing; Insert Dashboard Item in Detail View related to this record; Master-Detail behavior between two nested ListViews in a single DetailView (Blazor XAF EF Core)
Business/Data Model Design,ORM Database Schema Migrations,846,How to create a Elsa Workflow service that can use ObjectSpaces; Re: How to customizely handle object deletion in XAF Web Blazor application using Entity Framework?; XPO Generating nvarchar(4000) Parameter for nvarchar(100) Column Causing Index Seek Issue
Business/Data Model Design,Property Changed Event,753,Master-Detail behavior between two nested ListViews in a single DetailView (Blazor XAF EF Core); using forced skin for all users; Problem with solution XAF - How to Save and Share Custom View Settings in WebForms
Business/Data Model Design,Relationships (Associations),6,XAF joining tables; Displaying a list of boolean values; Disable Audit Trail for certain Many  to Many associations
Business/Data Model Design,Sequential Numbers (Auto-Increment),15,XAF Blazor version update error from 24.2.3 to 25.2.3; How to create a System ObjectSpace (Non-Secured) inside an EF Core SaveChangesInterceptor in a Multi-tenant application.; Blazor Combox doesn't filter negative numbers
Business/Data Model Design,XPO IList Associations (ManyToManyAliasAttribute),42,XAF joining tables; Web API OData deep update: IDeltaSet branch in XpoDeltaBase.TrySetPropertyValue seems unreachable for collections; XAF - WebApi (XPCollection with relationship Associations do not appear in the JSON results)
Chart Module,Chart Module,32,Insert Dashboard Item in Detail View related to this record; XAF Blazor EF Core: Collapsing LayoutGroup in Dashboard Does Not Expand Other Layout Groups; Concern Regarding Removal of Quick PivotChart Module in v25.2.4
Chart Module,Chart Customization in Code,225,Insert Dashboard Item in Detail View related to this record; XAF Blazor EF Core: Collapsing LayoutGroup in Dashboard Does Not Expand Other Layout Groups; Field Spacing in a blazor layout
Chart Module,Chart Customization in Wizard,14,"XAF Blazor EF Core: Collapsing LayoutGroup in Dashboard Does Not Expand Other Layout Groups; Xaf Model Editor not opening; XPO Designer Wizard: Manual relationships lost on update & VS Crash (""Object reference"") when updating multiple tables"
Clone Object Module,Clone Object Module,843,Insert Dashboard Item in Detail View related to this record; How to create a Elsa Workflow service that can use ObjectSpaces; Calculated CreatedX and LastModifiedX properties using the AuditTrailModule?
Clone Object Module,Cloner Customization,0,
Code Analysis (Roslyn Analyzers),Code Analysis (Roslyn Analyzers),69,Project converter error 25.2.4; PostgreSqlConnectionProvider.GlobalUseLegacyGuidSupport ; Scheduler appointment wrongly converting UTC to Mountain Standard Time
Code Analysis (Roslyn Analyzers),False-Positive Diagnostics,16,System Threading Task prevent project converter Upgrade; How to make a field a long text area; Only show button of PropertyEditor when field has content
Conditional Appearance Module,Conditional Appearance Module,108,Show DetailView from MessageOptions.OkDelegate; using forced skin for all users; Set border style for DxDataList/DxTreeListEditor row
Conditional Appearance Module,Custom Appearance on Events,444,Master-Detail behavior between two nested ListViews in a single DetailView (Blazor XAF EF Core); XAF Blazor EF Core: Collapsing LayoutGroup in Dashboard Does Not Expand Other Layout Groups; Saving theme preference
Conditional Appearance Module,Custom UI Elements,147,Another fix related to localization; Xtrareport Datasource assign bug; ASP.NET WEB FORM - Apply CustomCSSClassName for static text but not working
Conditional Appearance Module,Skin-Aware Colors,11,"Easy way to persist selected skin to login form on Win XAF like the Blazor XAF ?; Custom Two-Step Login (Keyword Verification) before Standard Authentication in XAF ; How do I access and adjust the Runtime version (bottom ui) of these ""Print Options"" settings  in XAF Print Preview?"
"Controllers, Actions, Frame Templates (Form Templates)",Action and Container Controls,231,Application error when create a detail view; ASPxRatingControl Validation; XAF Blazor - How to align a search box to the right
"Controllers, Actions, Frame Templates (Form Templates)",Active/Enabled State,99,Re: Blazor - XAF app throws an exception if a logon window remains active for a long time; PostgreSqlConnectionProvider.GlobalUseLegacyGuidSupport ; XAF WinForms ReportsV2: Report Preview shows empty grouped rows after re-filtering a Server Mode grouped ListView
"Controllers, Actions, Frame Templates (Form Templates)",Built-in Action Types,253,Insert Dashboard Item in Detail View related to this record; XtraReports Expression Editor: Severe performance degradation with types containing many members (4000+) - path depth limitation needed; Controller responsible for “Unsaved changes will be lost” popup in XAF Blazor
"Controllers, Actions, Frame Templates (Form Templates)",Built-in Controllers,55,"Controller responsible for “Unsaved changes will be lost” popup in XAF Blazor; XAF ASP.NET WEB FORM - Refresh Action unable to show in list view; Best practices and recommended architecture for a per-client plugin/customization system in XAF (single codebase, per-client database)"
"Controllers, Actions, Frame Templates (Form Templates)",Custom Controllers Design,1065,Insert Dashboard Item in Detail View related to this record; Saving theme preference; Show DetailView from MessageOptions.OkDelegate
"Controllers, Actions, Frame Templates (Form Templates)",Form Templates,161,.net framework on xaf; CellDisplayTemplate briefly shows incorrect content when transitioning from CellEditTemplate in EditCell mode; Blazor AllItemsWithSearch behaviour
"Controllers, Actions, Frame Templates (Form Templates)",InPlace Actions in Grid Cells,118,Blazor - How to apply filter only on Enter key press and prevent applying on unfocus; How to set the column position of a property in Export; Modifying Blazor Grid behaviors
"Controllers, Actions, Frame Templates (Form Templates)",Keyboard Shortcuts,2,Dxbl-popup doesn't trigger 'AcceptAction' when pressing 'ENTER' in Blazor; Problems with ListView Inline mode
"Controllers, Actions, Frame Templates (Form Templates)",LinkNewObjectToParentImmediately,0,
Dashboards Module,Dashboards Module,78,Insert Dashboard Item in Detail View related to this record; XAF Blazor EF Core: Collapsing LayoutGroup in Dashboard Does Not Expand Other Layout Groups; How to use dashboards parameters in Blazor apps
Dashboards Module,"Dashboards Control Customization (Widgets, Extensions)",246,XAF Blazor EF Core: Collapsing LayoutGroup in Dashboard Does Not Expand Other Layout Groups; Set border style for DxDataList/DxTreeListEditor row; Controller responsible for “Unsaved changes will be lost” popup in XAF Blazor
Dashboards Module,FillServices,0,
Dashboards Module,Dashboard Filtering,25,XAF Blazor EF Core: Collapsing LayoutGroup in Dashboard Does Not Expand Other Layout Groups; How to obtain user information in the dashboard; Not able to see DetailViewLayout with added Groups
Dashboards Module,Non-XAF Data Sources,847,How to create a Elsa Workflow service that can use ObjectSpaces; FileSystemStoreObject with IFileData does not support real-time preview PdfViewerPropertyEditor in Blazor - Content property workaround needed; WinForms XAF: N+1 SQL Queries in ListView.DataViewMode when AppearanceRule.Criteria references non-visible property
Data Locking (Concurrency Control),Data Locking (Concurrency Control),984,Master-Detail behavior between two nested ListViews in a single DetailView (Blazor XAF EF Core); XAF : Example of updating a persistent list based on selection from another persistent list; FileSystemStoreObject with IFileData does not support real-time preview PdfViewerPropertyEditor in Blazor - Content property workaround needed
Data Locking (Concurrency Control),Default Merging,12,"XAF Blazor: How to show aggregate child validation errors in DetailView Red Summary instead of Toasts?; Merge problems when using TrackPropertiesModifications; Unexpected Permission Merging Behavior with PermissionPolicyRoles: DENIED Actions Become Allowed When Assigning ""Default"" Role"
Data Locking (Concurrency Control),Track Changes,53,API DELETE Verb fails when XAF security system keyed to reference property; Registering services for Dependency Injection when unit testing; XAF | Win | ModelEditor throws exception on 'Merge Differences' (25.2.3)
Data Manipulation and Business Logic,Data Manipulation and Business Logic,915,Insert Dashboard Item in Detail View related to this record; How to create a Elsa Workflow service that can use ObjectSpaces; Calculated CreatedX and LastModifiedX properties using the AuditTrailModule?
Data Manipulation and Business Logic,ASync/Await Method Support,938,Calculated CreatedX and LastModifiedX properties using the AuditTrailModule?; System Threading Task prevent project converter Upgrade; OnModelCreating Repeated Execution
Data Manipulation and Business Logic,Custom Logic Within a Data Model,3351,XAF Blazor - Dashboard Menu Parameters checkbox missing; Insert Dashboard Item in Detail View related to this record; Master-Detail behavior between two nested ListViews in a single DetailView (Blazor XAF EF Core)
Data Manipulation and Business Logic,Custom Logic Withing View or Controller,3215,Insert Dashboard Item in Detail View related to this record; Master-Detail behavior between two nested ListViews in a single DetailView (Blazor XAF EF Core); Calculated CreatedX and LastModifiedX properties using the AuditTrailModule?
Data Manipulation and Business Logic,Deep Insert,6,Deep inserting with reference properties does not work; POST request that includes collections; Re: Deep Insert Support and Object Refrencing
Data Manipulation and Business Logic,"Dependency Injection in Controllers, Business Objects",814,How to create a Elsa Workflow service that can use ObjectSpaces; Calculated CreatedX and LastModifiedX properties using the AuditTrailModule?; XAF : Example of updating a persistent list based on selection from another persistent list
Data Manipulation and Business Logic,Error: Object belongs to a different Session/Space,1870,How to create a Elsa Workflow service that can use ObjectSpaces; XAF Blazor EF Core: Collapsing LayoutGroup in Dashboard Does Not Expand Other Layout Groups; System Threading Task prevent project converter Upgrade
Data Manipulation and Business Logic,Error: Object was changed by another user,2588,Insert Dashboard Item in Detail View related to this record; ListView for XAF - Drop-down with view variants disappears during navigation between ListViews; Master-Detail behavior between two nested ListViews in a single DetailView (Blazor XAF EF Core)
Data Manipulation and Business Logic,Error: using CreateObjectSpace(),43,SQL Exception: The incoming request has too many parameters. ; How to set XpoDefault.DataLayer in a custom module; ShowViewInPopupWindow validation issue
Data Manipulation and Business Logic,Transaction/Unit of Work,16,Cross-thread operation detected when CommitTransactionAsync on Aggregated Class; XAF – XPCollection missing associated objects in Server Mode; Begin Transaction
Data Manipulation and Business Logic,XAF Data and Logic in Non-XAF Apps,850,How to create a Elsa Workflow service that can use ObjectSpaces; Calculated CreatedX and LastModifiedX properties using the AuditTrailModule?; Re: How to customizely handle object deletion in XAF Web Blazor application using Entity Framework?
"Data Representation, Sources, and Modes","Data Representation, Sources, and Modes",421,FileSystemStoreObject with IFileData does not support real-time preview PdfViewerPropertyEditor in Blazor - Content property workaround needed; Issue with XAF Blazor Layout After Upgrading from v23.2 to v25.2; Save AuditTrail in a separate Session or ObjectSpace?
"Data Representation, Sources, and Modes",DataAccessMode = DataView and Non-XAF XPView,27,WinForms XAF: N+1 SQL Queries in ListView.DataViewMode when AppearanceRule.Criteria references non-visible property; NonPersistent Detail View not showing PersistentObject list in lookup; Empty list with counts?
"Data Representation, Sources, and Modes",DataAccessMode = Server/IF (regular) and Non-XAF,238,How to create a Elsa Workflow service that can use ObjectSpaces; Access to BaseImpl classes not working; NonPersistent Detail View not showing PersistentObject list in lookup
"Data Representation, Sources, and Modes",DataAccessMode = ServerView/IFView and Non-XAF,22,NonPersistent Detail View not showing PersistentObject list in lookup; ObjectDisposedException in ListViewItemAppearanceController when closing ListView tab in Blazor Server (DataProvider disposed during render); Empty list with counts?
"Data Representation, Sources, and Modes",DataAccessMode = Queryable,7,How to programmatically select a List View data source mode; Performance problem of Blazor DxTreeListEditor with XPO: if LoadChildrenOnDemand = true the editor still loads the entire datasource ; Using DateOnly + DataSource with GetDate(Now()) + ServerMode combo raises an error
"Data Representation, Sources, and Modes",XPBindingSource,0,
"Data Representation, Sources, and Modes",XPObjectSource for Reports and Dashboards,36,Report and Dashboard Designer do not always use connection strings properly in Windows client; Not able to see DetailViewLayout with added Groups; Subreports no data
Data Store Configuration,Data Store Configuration,671,Saving theme preference; FileSystemStoreObject with IFileData does not support real-time preview PdfViewerPropertyEditor in Blazor - Content property workaround needed; OnModelCreating Repeated Execution
Data Store Configuration,Connect Several Databases Simultaneously,103,Possibilities of XAF; Query data from other databases; Question on WPF - XAF - Integration
Data Store Configuration,"Obtain Data From External Services, Other Databases",427,Hide Log In Form for EntraID login; Report and Dashboard Designer do not always use connection strings properly in Windows client; System.MissingMethodException: Method not found: 'Void Microsoft.AspNetCore.OData.Deltas.Delta`1.Patch(System.__Canon)'.
Data Store Configuration,ThreadSafeDataLayer,0,
Data Store Configuration,"XPO OData, Web API Services, JSON Serialization",928,Web API logging; Blazor - XAF raises ObjectDisposedException in ActionShortcutComponent after idle in some usage scenarios; Invalid datasource after export and import of a report
Data Store Configuration,XPO Web API Data Store,2047,Web API logging; XAF Blazor - Dashboard Menu Parameters checkbox missing; Insert Dashboard Item in Detail View related to this record
"Debugging, Testing, and Error Handling","Debugging, Testing, and Error Handling",280,Controller responsible for “Unsaved changes will be lost” popup in XAF Blazor; Issue with Handling Database Trigger Exceptions in Blazor/XPO – Optimistic Concurrency Message on Second Save; Model Editor Crash on Close – ValidationModule.InitializeRuleSet() Exception
"Debugging, Testing, and Error Handling",EasyTest/Script Recorder Module,1325,Insert Dashboard Item in Detail View related to this record; How to create a Elsa Workflow service that can use ObjectSpaces; Calculated CreatedX and LastModifiedX properties using the AuditTrailModule?
"Debugging, Testing, and Error Handling",LinqPad Driver,1,Cannot configure LINQPad to work with XPO and Postgres
"Debugging, Testing, and Error Handling",Tracer,0,
"Debugging, Testing, and Error Handling",Unit Testing,42,How to set XpoDefault.DataLayer in a custom module; UnitOfWork.BulkLoad doesn't work with .Net XPO MiddleTierServer; Registering services for Dependency Injection when unit testing
"Debugging, Testing, and Error Handling",XPO Profiler,27,Importing table with many records in MSSQL istance; Unable to Resolve DevExpress.Xpo.v25.1 Assembly & SQL Connection Issues in ASP.NET XAF Project; How to programmatically select a List View data source mode
Deployment,Deployment,0,
Deployment,ClickOnce,0,
Deployment,"Cloud Deployment (Azurem AWS, etc.)",28,XAF Application Updater utility behavior in v25.2.5; Add custom button support for DxFileDataPropertyEditor; Blazor cant run built app
Deployment,"Linux (nginx, Apache, Electron, Docker)",10,Blazor cant run built app; XAF Blazor:  NullReferenceException in BootstrapThemeLink/ThemeService when running XAF Blazor in Docker (Linux container); Error in Hosted Web App on Azure Linux and Compatibility Issues with SkiaSharp
Deployment,Missing Assemblies and Resources,68,Edit Model fails at design time in our .NETCore Project; Blazor - How to apply filter only on Enter key press and prevent applying on unfocus; New App XPO - PGSQL
Deployment,ModuleUpdater and DBUpdater,1,CrossThread on ModuleUpdater.ObjectSpace
Deployment,XAF Application Updater,83,XAF Application Updater utility behavior in v25.2.5; How to use the DX Appliation Updater with a Win-Forms client that connects to the new Middle-Tier API (XPO)?; Update a tenant database schema 
Features For Enterprise Development,Features For Enterprise Development,48,life cycle Devexpress 24.2.7.0; DevExpress WebApi Blazor (ServerInteractive and WASMInteractive) Telegram Bot Integration Demo; Most recent demo for XAF Blazor
File Attachments Module,File Attachments Module,515,Insert Dashboard Item in Detail View related to this record; FileSystemStoreObject with IFileData does not support real-time preview PdfViewerPropertyEditor in Blazor - Content property workaround needed; Label and Status within Scheduler Event
File Attachments Module,File Attachments Controls Customization,308,FileSystemStoreObject with IFileData does not support real-time preview PdfViewerPropertyEditor in Blazor - Content property workaround needed; Re: How to customizely handle object deletion in XAF Web Blazor application using Entity Framework?; Controller responsible for “Unsaved changes will be lost” popup in XAF Blazor
File Attachments Module,File System or Custom Storages,2510,XAF Blazor - Dashboard Menu Parameters checkbox missing; Insert Dashboard Item in Detail View related to this record; Calculated CreatedX and LastModifiedX properties using the AuditTrailModule?
File Attachments Module,FileData in Non-XAF Apps (CompressionUtils),58,How to create a Elsa Workflow service that can use ObjectSpaces; Question on WPF - XAF - Integration; A Big Thank You to the XAF/XPO Team!
Filtering and Querying Data,Filtering and Querying Data,271,Master-Detail behavior between two nested ListViews in a single DetailView (Blazor XAF EF Core); Calculated CreatedX and LastModifiedX properties using the AuditTrailModule?; XAF : Example of updating a persistent list based on selection from another persistent list
Filtering and Querying Data,Built-In Criteria Operators,57,Master-Detail behavior between two nested ListViews in a single DetailView (Blazor XAF EF Core); XPO issue around bitwise NOT in LINQ projections; Clone module action bypasses property setters of target object
Filtering and Querying Data,Custom Criteria Functions,458,Master-Detail behavior between two nested ListViews in a single DetailView (Blazor XAF EF Core); Calculated CreatedX and LastModifiedX properties using the AuditTrailModule?; Object properties operands that are passed to ICustomFunctionOperatorConvertibleToExpression.Convert only provide the ID.
Filtering and Querying Data,Direct SQL,114,Security Vulnerability: Plain text password exposed in memory within MSSqlConnectionProvider; How to cancel execution of ExecuteSprocAsync; XAF joining tables
Filtering and Querying Data,Filter by Security User,810,ListView for XAF - Drop-down with view variants disappears during navigation between ListViews; Master-Detail behavior between two nested ListViews in a single DetailView (Blazor XAF EF Core); Calculated CreatedX and LastModifiedX properties using the AuditTrailModule?
Filtering and Querying Data,LINQ to XPO,42,Linq to XPO causes multiple jit compilations for the same lambda query; XPO issue around bitwise NOT in LINQ projections; How to set the column position of a property in Export
Filtering and Querying Data,XAF Current Object Parameter for XPO,1777,Insert Dashboard Item in Detail View related to this record; Master-Detail behavior between two nested ListViews in a single DetailView (Blazor XAF EF Core); Calculated CreatedX and LastModifiedX properties using the AuditTrailModule?
Images,Images,0,
Images,Custom Image Source,1362,XAF Blazor - Dashboard Menu Parameters checkbox missing; Master-Detail behavior between two nested ListViews in a single DetailView (Blazor XAF EF Core); XAF Blazor EF Core: Collapsing LayoutGroup in Dashboard Does Not Expand Other Layout Groups
Images,ImageLoader Customizations,0,
Images,Missing Images (ShowXXX options and issues),292,using forced skin for all users; Object properties operands that are passed to ICustomFunctionOperatorConvertibleToExpression.Convert only provide the ID.; Another fix related to localization
Localization/Accessibility,Localization/Accessibility,0,
Localization/Accessibility,"Accessibility (WPAT, Section 508",1,Documentation to support Computer System Validation for an application build with DevExpress
